seed,task,context,model,sampler,kl,tv,invalid_rate,sampled_invalid_rate,edge_precision,edge_recall,edge_f1,predicted_edges,true_edges
3,markov_025,0,fixed_topology_dynamic_factors,ancestral_joint,0.005782690618769341,0.04277018701736277,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_025,0,dynamic_topology_fixed_factors,ancestral_joint,0.002929676512969976,0.031003854815313273,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_025,0,contextual_forest,ancestral_joint,0.005782690618769341,0.04277018701736277,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,factorized,independent_marginals,1.5658527143565992,0.6211359861952361,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,parameter_matched_independent,independent_marginals,1.5658527143565992,0.6211359861952361,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,natural_chain,ancestral_joint,0.0067270694524339345,0.04516380028891584,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,static_forest,ancestral_joint,0.0067270694524339345,0.04516380028891584,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,fixed_topology_dynamic_factors,ancestral_joint,0.0067270694524339345,0.04516380028891584,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,dynamic_topology_fixed_factors,ancestral_joint,0.0021996279528760402,0.026651475099351566,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_050,0,contextual_forest,ancestral_joint,0.0067270694524339345,0.04516380028891584,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,factorized,independent_marginals,3.490635198827871,0.8475264854492823,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,parameter_matched_independent,independent_marginals,3.490635198827871,0.8475264854492823,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,natural_chain,ancestral_joint,0.008272384842632098,0.048655813896485337,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,static_forest,ancestral_joint,0.008272384842632098,0.048655813896485337,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,fixed_topology_dynamic_factors,ancestral_joint,0.008272384842632098,0.048655813896485337,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,dynamic_topology_fixed_factors,ancestral_joint,0.002344085633498226,0.027966572130320107,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_075,0,contextual_forest,ancestral_joint,0.008272384842632098,0.048655813896485337,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,factorized,independent_marginals,5.188907936483336,0.9360594145977523,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,parameter_matched_independent,independent_marginals,5.188907936483336,0.9360594145977523,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,natural_chain,ancestral_joint,0.006560337664853629,0.03591304009482436,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,static_forest,ancestral_joint,0.006560337664853629,0.03591304009482436,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,fixed_topology_dynamic_factors,ancestral_joint,0.006560337664853629,0.03591304009482436,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,dynamic_topology_fixed_factors,ancestral_joint,0.0012861002244758703,0.01973945057408389,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,markov_090,0,contextual_forest,ancestral_joint,0.006560337664853629,0.03591304009482436,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
3,context_switching_matching,0,factorized,independent_marginals,4.160669649916754,0.9843473039956185,0.9843473039956184,0.98365,0.0,0.0,0.0,[],"[[0, 1], [2, 3], [4, 5]]"
